"UF";"COTA";"pos54"
"AC";44260,6;1
"AL";40572,24;1
"AM";43198,26;1
"AP";43002,92;1
"BA";38638,99;1
"CE";42079,91;1
"DF";30416,8;1
"ES";37052,05;1
"GO";35135,2;1
"MA";41779,83;1
"MG";35720,85;1
"MS";40170,98;1
"MT";39056,17;1
"PA";41855,59;1
"PB";41660,7;1
"PE";41304,94;1
"PI";40599,91;1
"PR";38500;1
"RJ";35388,11;1
"RN";42360,13;1
"RO";43300,63;1
"RR";45240,67;1
"RS";40504,04;1
"SC";39505,92;1
"SE";39767,4;1
"SP";36671,67;1
"TO";39131,75;1
"AC";33516,34;0
"AL";30723,33;0
"AM";32711,89;0
"AP";32563,97;0
"BA";29259,38;0
"CE";31865,01;0
"DF";23033,13;0
"ES";28057,67;0
"GO";26606,13;0
"MA";31637,78;0
"MG";27049,62;0
"MS";30419,48;0
"MT";29575,29;0
"PA";31695,15;0
"PB";31547,57;0
"PE";31278,18;0
"PI";30744,29;0
"PR";29154,13;0
"RJ";26797,65;0
"RN";32077,21;0
"RO";32789,41;0
"RR";34258,5;0
"RS";30671,69;0
"SC";29915,86;0
"SE";30113,87;0
"SP";27769,62;0
"TO";29632,52;0
