"","ano","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"922","2015",34,1313,10,2345694,40599.91,70.21,"97"
"232","2015",38,1687,22,6271554,42079.91,200,"28"
"775","2015",13,1716,12,2835882,41660.7,71.91,"89"
"1094","2015",34,1775,8,2327451,42360.13,110,"115"
"628","2016",21,878,8,1818937,40170.98,146.08,"55"
"258","2016",25,1687,22,6271554,42079.91,100,"24"
"1251","2016",21,1314,16,4859324,39505.92,30,"102"
"78","2017",34,1485,9,1995727,40572.24,77.33,"5"
"567","2017",11,624,53,15248681,35720.85,72.74,"31"
"665","2017",54,873,8,2189703,39056.17,62,"44"
"73","2018",20,1485,9,1995727,40572.24,39,"4"
"735","2018",36,1592,17,5188450,41855.59,47.37,"63"
"216","2018",36,1060,39,10185417,38638.99,196.29,"21"
"656","2019",21,873,8,2189703,39056.17,195.21,"159"
"411","2019",10,173,17,4331733,35135.2,26.11,"102"
"1317","2019",36,1292,8,1454165,39767.4,14.2,"330"
"469","2019",32,1524,18,4537237,41779.83,44.21,"116"
"241","2019",65,1687,22,6271554,42079.91,200.02,"61"
"1257","2019",36,1314,16,4859324,39505.92,194.32,"313"
"929","2019",34,1313,10,2345694,40599.91,43.71,"227"
"1300","2019",21,1292,8,1454165,39767.4,200,"322"
"484","2019",65,1524,18,4497336,41779.83,125.46,"121"
"1223","2020",10,1619,31,8354732,40504.04,125.56,"122"
"719","2020",54,1592,17,5499283,41855.59,50,"85"
"524","2020",34,624,53,15700966,35720.85,135.9,"59"
"293","2020",32,0,8,2084356,30416.8,55.33,"34"
"1324","2021",54,1292,8,1577058,39767.4,115.5,"99"
"1331","2021",30,1292,8,1577058,39767.4,17.01,"101"
"138","2021",8,1791,8,512110,43002.92,26.99,"8"
"287","2022",32,0,8,2084356,30416.8,40.31,"21"
"55","2022",34,1485,9,2187967,40572.24,137,"6"
"112","2022",30,1932,8,2428098,43198.26,168.16,"7"
"1080","2023",9,933,46,12408340,35388.11,0.82,"172"
"1337","2023",33,1292,8,1577058,39767.4,67.84,"215"
"351","2023",8,947,10,2754728,37052.05,0.32,"47"
"298","2023",35,0,8,2084356,30416.8,0.3,"42"
"146","2023",38,1791,8,512110,43002.92,119.81,"22"
"51","2023",54,1485,9,2187967,40572.24,4.73,"12"
